"id","data_alteracao","data_cadastro","data_exclusao","is_excluido","ibge","lat_lon","nome","usuario_alteracao_id","usuario_excluiu_id","uf","algorix_id","nome_sem_acento","id_sub_regiao"
5518,2021-08-17 19:31:29.110,,,false,1716109,"(-10.175000190734863,-48.882301330566406)",Paraíso do Tocantins,,,27,,PARAISO DO TOCANTINS,
4,2021-08-17 18:22:34.451,,,false,3200201,"(-20.757999420166016,-41.53820037841797)",Alegre,,,8,,ALEGRE,
5,2021-08-17 18:22:35.168,,,false,3200300,"(-20.63960075378418,-40.75429916381836)",Alfredo Chaves,,,8,,ALFREDO CHAVES,
6,2021-08-17 18:22:35.889,,,false,3200359,"(-19.061800003051758,-41.02090072631836)",Alto Rio Novo,,,8,,ALTO RIO NOVO,
7,2021-08-17 18:22:36.605,,,false,3200409,"(-20.795499801635742,-40.64250183105469)",Anchieta,,,8,,ANCHIETA,
8,2021-08-17 18:22:37.337,,,false,3200508,"(-21.152299880981445,-41.56930160522461)",Apiacá,,,8,,APIACA,
10,2021-08-17 18:22:38.059,,,false,3200706,"(-20.913000106811523,-41.19860076904297)",Atilio Vivacqua,,,8,,ATILIO VIVACQUA,
11,2021-08-17 18:22:38.780,,,false,3200805,"(-19.521299362182617,-41.01089859008789)",Baixo Guandu,,,8,,BAIXO GUANDU,
12,2021-08-17 18:22:39.502,,,false,3200904,"(-18.75480079650879,-40.89649963378906)",Barra de São Francisco,,,8,,BARRA DE SAO FRANCISCO,
14,2021-08-17 18:22:40.225,,,false,3201100,"(-21.117300033569336,-41.673099517822266)",Bom Jesus do Norte,,,8,,BOM JESUS DO NORTE,
15,2021-08-17 18:22:40.939,,,false,3201159,"(-20.13949966430664,-41.2953987121582)",Brejetuba,,,8,,BREJETUBA,
16,2021-08-17 18:22:41.659,,,false,3201209,"(-20.846200942993164,-41.11980056762695)",Cachoeiro de Itapemirim,,,8,,CACHOEIRO DE ITAPEMIRIM,
17,2021-08-17 18:22:42.376,,,false,3201308,"(-20.263200759887695,-40.416500091552734)",Cariacica,,,8,,CARIACICA,
19,2021-08-17 18:22:43.092,,,false,3201506,"(-19.549299240112305,-40.62689971923828)",Colatina,,,8,,COLATINA,
20,2021-08-17 18:22:43.809,,,false,3201605,"(-18.588300704956055,-39.73619842529297)",Conceição da Barra,,,8,,CONCEICAO DA BARRA,
